Sample_Name	Group	Inversion
FAB_5X_LOKn_F_SHELT_DWARF_1019	3	Inv_4.2
FAB_5X_LOKn_F_SHELT_DWARF_1021	3	Inv_4.2
FAB_5X_LOKn_F_SHELT_DWARF_1022	3	Inv_4.2
FAB_5X_LOKn_F_SHELT_DWARF_1024	3	Inv_4.2
FAB_5X_LOKn_F_SHELT_DWARF_960	3	Inv_4.2
FAB_5X_LOKn_F_SHELT_DWARF_961	3	Inv_4.2
FAB_5X_LOKn_F_SHELT_DWARF_964	3	Inv_4.2
FAB_5X_LOKn_F_SHELT_DWARF_966	3	Inv_4.2
FAB_5X_LOKn_F_SHELT_DWARF_970	3	Inv_4.2
FAB_5X_LOKn_F_SHELT_DWARF_976	3	Inv_4.2
FAB_5X_LOKn_F_SHELT_DWARF_978	3	Inv_4.2
FAB_5X_LOKn_F_SHELT_DWARF_982	3	Inv_4.2
FAB_5X_LOKn_F_SHELT_DWARF_984	3	Inv_4.2
FAB_5X_LOKn_F_SHELT_DWARF_989	3	Inv_4.2
FAB_5X_LOKn_F_SHELT_DWARF_995	3	Inv_4.2
FAB_5X_LOKn_F_SHELT_DWARF_996	3	Inv_4.2
FAB_5X_LOKn_F_SHELT_DWARF_998	3	Inv_4.2
FAB_5X_LOKn_F_SHELT_DWARF_999	3	Inv_4.2
FAB_5X_LOKn_F_SHELT_LARGE_1004	3	Inv_4.2
FAB_5X_LOKn_F_SHELT_LARGE_993	3	Inv_4.2
FAB_5X_LOKn_F_TRANS_DWARF_917	1	Inv_4.2
FAB_5X_LOKn_F_TRANS_DWARF_924	3	Inv_4.2
FAB_5X_LOKn_F_TRANS_DWARF_925	3	Inv_4.2
FAB_5X_LOKn_F_TRANS_DWARF_926	3	Inv_4.2
FAB_5X_LOKn_F_TRANS_DWARF_952	1	Inv_4.2
FAB_5X_LOKn_F_TRANS_DWARF_957	1	Inv_4.2
FAB_5X_LOKn_F_TRANS_LARGE_901	3	Inv_4.2
FAB_5X_LOKn_F_TRANS_LARGE_910	3	Inv_4.2
FAB_5X_LOKn_F_TRANS_LARGE_914	1	Inv_4.2
FAB_5X_LOKn_F_TRANS_LARGE_916	1	Inv_4.2
FAB_5X_LOKn_F_TRANS_LARGE_920	1	Inv_4.2
FAB_5X_LOKn_F_TRANS_LARGE_922	1	Inv_4.2
FAB_5X_LOKn_F_TRANS_LARGE_931	2	Inv_4.2
FAB_5X_LOKn_F_TRANS_LARGE_932	2	Inv_4.2
FAB_5X_LOKn_F_TRANS_LARGE_940	2	Inv_4.2
FAB_5X_LOKn_F_TRANS_LARGE_941	2	Inv_4.2
FAB_5X_LOKn_F_TRANS_LARGE_946	1	Inv_4.2
FAB_5X_LOKn_F_TRANS_LARGE_949	1	Inv_4.2
FAB_5X_LOKn_F_TRANS_LARGE_955	1	Inv_4.2
FAB_5X_LOKn_M_EXPOS_DWARF_789	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_DWARF_811	1	Inv_4.2
FAB_5X_LOKn_M_EXPOS_DWARF_829	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_DWARF_830	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_DWARF_831	1	Inv_4.2
FAB_5X_LOKn_M_EXPOS_DWARF_869	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_776	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_780	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_782	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_784	1	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_785	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_787	1	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_788	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_790	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_792	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_793	1	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_794	1	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_797	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_800	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_809	3	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_813	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_815	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_824	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_825	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_826	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_832	1	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_835	1	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_836	1	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_843	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_846	1	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_847	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_848	1	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_849	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_853	1	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_854	1	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_872	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_876	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_881	1	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_884	1	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_885	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_886	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_888	1	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_890	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_891	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_892	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_893	2	Inv_4.2
FAB_5X_LOKn_M_EXPOS_LARGE_895	1	Inv_4.2
FAB_5X_LOKn_M_SHELT_DWARF_1002	3	Inv_4.2
FAB_5X_LOKn_M_SHELT_DWARF_1008	3	Inv_4.2
FAB_5X_LOKn_M_SHELT_DWARF_1009	3	Inv_4.2
FAB_5X_LOKn_M_SHELT_DWARF_1011	3	Inv_4.2
FAB_5X_LOKn_M_SHELT_DWARF_1015	3	Inv_4.2
FAB_5X_LOKn_M_SHELT_DWARF_1020	3	Inv_4.2
FAB_5X_LOKn_M_SHELT_DWARF_962	3	Inv_4.2
FAB_5X_LOKn_M_SHELT_DWARF_967	3	Inv_4.2
FAB_5X_LOKn_M_SHELT_DWARF_968	3	Inv_4.2
FAB_5X_LOKn_M_SHELT_DWARF_972	3	Inv_4.2
FAB_5X_LOKn_M_SHELT_DWARF_979	3	Inv_4.2
FAB_5X_LOKn_M_SHELT_DWARF_980	3	Inv_4.2
FAB_5X_LOKn_M_SHELT_DWARF_986	3	Inv_4.2
FAB_5X_LOKn_M_SHELT_DWARF_987	1	Inv_4.2
FAB_5X_LOKn_M_SHELT_DWARF_988	3	Inv_4.2
FAB_5X_LOKn_M_SHELT_DWARF_990	3	Inv_4.2
FAB_5X_LOKn_M_SHELT_LARGE_974	1	Inv_4.2
FAB_5X_LOKn_M_SHELT_LARGE_991	1	Inv_4.2
FAB_5X_LOKn_M_TRANS_DWARF_900	3	Inv_4.2
FAB_5X_LOKn_M_TRANS_DWARF_903	2	Inv_4.2
FAB_5X_LOKn_M_TRANS_DWARF_905	3	Inv_4.2
FAB_5X_LOKn_M_TRANS_DWARF_915	3	Inv_4.2
FAB_5X_LOKn_M_TRANS_DWARF_927	3	Inv_4.2
FAB_5X_LOKn_M_TRANS_DWARF_930	2	Inv_4.2
FAB_5X_LOKn_M_TRANS_DWARF_935	3	Inv_4.2
FAB_5X_LOKn_M_TRANS_DWARF_936	1	Inv_4.2
FAB_5X_LOKn_M_TRANS_DWARF_937	3	Inv_4.2
FAB_5X_LOKn_M_TRANS_DWARF_938	2	Inv_4.2
FAB_5X_LOKn_M_TRANS_DWARF_943	3	Inv_4.2
FAB_5X_LOKn_M_TRANS_DWARF_944	2	Inv_4.2
FAB_5X_LOKn_M_TRANS_DWARF_950	2	Inv_4.2
FAB_5X_LOKn_M_TRANS_DWARF_959	3	Inv_4.2
FAB_5X_LOKn_M_TRANS_LARGE_902	2	Inv_4.2
FAB_5X_LOKn_M_TRANS_LARGE_906	1	Inv_4.2
FAB_5X_LOKn_M_TRANS_LARGE_911	2	Inv_4.2
FAB_5X_LOKn_M_TRANS_LARGE_912	2	Inv_4.2
FAB_5X_LOKn_M_TRANS_LARGE_918	1	Inv_4.2
FAB_5X_LOKn_M_TRANS_LARGE_921	3	Inv_4.2
FAB_5X_LOKn_M_TRANS_LARGE_928	1	Inv_4.2
FAB_5X_LOKn_M_TRANS_LARGE_942	1	Inv_4.2
FAB_15X_LAMn_F_EXPOS_DWARF_161	2	Inv_4.3
FAB_15X_LAMn_F_EXPOS_DWARF_166	3	Inv_4.3
FAB_15X_LAMn_F_EXPOS_DWARF_169	2	Inv_4.3
FAB_15X_LAMn_F_EXPOS_DWARF_179	2	Inv_4.3
FAB_15X_LAMn_F_SHELT_DWARF_1	1	Inv_4.3
FAB_15X_LAMn_F_SHELT_LARGE_129	1	Inv_4.3
FAB_15X_LAMn_F_SHELT_LARGE_130	1	Inv_4.3
FAB_15X_LAMn_F_SHELT_LARGE_4	3	Inv_4.3
FAB_15X_LAMn_F_SHELT_LARGE_8	1	Inv_4.3
FAB_15X_LAMn_M_EXPOS_DWARF_167	3	Inv_4.3
FAB_15X_LAMn_M_EXPOS_DWARF_170	3	Inv_4.3
FAB_15X_LAMn_M_EXPOS_DWARF_171	3	Inv_4.3
FAB_15X_LAMn_M_EXPOS_LARGE_165	2	Inv_4.3
FAB_15X_LAMn_M_SHELT_DWARF_131	1	Inv_4.3
FAB_15X_LAMn_M_SHELT_LARGE_128	1	Inv_4.3
FAB_15X_LAMn_M_SHELT_LARGE_132	1	Inv_4.3
FAB_15X_LAMn_M_SHELT_LARGE_2	1	Inv_4.3
FAB_15X_LAMn_M_SHELT_LARGE_5	1	Inv_4.3
FAB_5X_LAMn_F_EXPOS_DWARF_142	2	Inv_4.3
FAB_5X_LAMn_F_EXPOS_DWARF_143	2	Inv_4.3
FAB_5X_LAMn_F_EXPOS_DWARF_144	3	Inv_4.3
FAB_5X_LAMn_F_EXPOS_DWARF_147	3	Inv_4.3
FAB_5X_LAMn_F_EXPOS_DWARF_152	2	Inv_4.3
FAB_5X_LAMn_F_EXPOS_DWARF_153	2	Inv_4.3
FAB_5X_LAMn_F_EXPOS_DWARF_156	2	Inv_4.3
FAB_5X_LAMn_F_EXPOS_DWARF_160	2	Inv_4.3
FAB_5X_LAMn_F_EXPOS_DWARF_168	2	Inv_4.3
FAB_5X_LAMn_F_EXPOS_DWARF_173	3	Inv_4.3
FAB_5X_LAMn_F_EXPOS_DWARF_191	3	Inv_4.3
FAB_5X_LAMn_F_EXPOS_DWARF_192	2	Inv_4.3
FAB_5X_LAMn_F_EXPOS_DWARF_54	3	Inv_4.3
FAB_5X_LAMn_F_EXPOS_DWARF_55	3	Inv_4.3
FAB_5X_LAMn_F_EXPOS_LARGE_159	2	Inv_4.3
FAB_5X_LAMn_F_EXPOS_LARGE_180	1	Inv_4.3
FAB_5X_LAMn_F_SHELT_DWARF_121	1	Inv_4.3
FAB_5X_LAMn_F_SHELT_DWARF_126	2	Inv_4.3
FAB_5X_LAMn_F_SHELT_DWARF_89	2	Inv_4.3
FAB_5X_LAMn_F_SHELT_DWARF_94	2	Inv_4.3
FAB_5X_LAMn_F_SHELT_LARGE_100	2	Inv_4.3
FAB_5X_LAMn_F_SHELT_LARGE_102	1	Inv_4.3
FAB_5X_LAMn_F_SHELT_LARGE_104	3	Inv_4.3
FAB_5X_LAMn_F_SHELT_LARGE_105	1	Inv_4.3
FAB_5X_LAMn_F_SHELT_LARGE_107	2	Inv_4.3
FAB_5X_LAMn_F_SHELT_LARGE_111	2	Inv_4.3
FAB_5X_LAMn_F_SHELT_LARGE_114	1	Inv_4.3
FAB_5X_LAMn_F_SHELT_LARGE_117	1	Inv_4.3
FAB_5X_LAMn_F_SHELT_LARGE_118	1	Inv_4.3
FAB_5X_LAMn_F_SHELT_LARGE_119	1	Inv_4.3
FAB_5X_LAMn_F_SHELT_LARGE_11	1	Inv_4.3
FAB_5X_LAMn_F_SHELT_LARGE_122	1	Inv_4.3
FAB_5X_LAMn_F_SHELT_LARGE_123	1	Inv_4.3
FAB_5X_LAMn_F_SHELT_LARGE_127	1	Inv_4.3
FAB_5X_LAMn_F_SHELT_LARGE_133	1	Inv_4.3
FAB_5X_LAMn_F_SHELT_LARGE_15	1	Inv_4.3
FAB_5X_LAMn_F_SHELT_LARGE_39	1	Inv_4.3
FAB_5X_LAMn_F_SHELT_LARGE_40	1	Inv_4.3
FAB_5X_LAMn_F_SHELT_LARGE_41	1	Inv_4.3
FAB_5X_LAMn_F_SHELT_LARGE_46	1	Inv_4.3
FAB_5X_LAMn_F_SHELT_LARGE_49	1	Inv_4.3
FAB_5X_LAMn_F_SHELT_LARGE_90	2	Inv_4.3
FAB_5X_LAMn_F_SHELT_LARGE_93	3	Inv_4.3
FAB_5X_LAMn_F_SHELT_LARGE_95	2	Inv_4.3
FAB_5X_LAMn_F_TRANSI_DWARF_197	3	Inv_4.3
FAB_5X_LAMn_F_TRANSI_DWARF_198	1	Inv_4.3
FAB_5X_LAMn_F_TRANSI_DWARF_205	3	Inv_4.3
FAB_5X_LAMn_F_TRANSI_DWARF_209	1	Inv_4.3
FAB_5X_LAMn_F_TRANSI_DWARF_210	2	Inv_4.3
FAB_5X_LAMn_F_TRANSI_DWARF_87	3	Inv_4.3
FAB_5X_LAMn_F_TRANSI_DWARF_88	2	Inv_4.3
FAB_5X_LAMn_F_TRANSI_LARGE_203	3	Inv_4.3
FAB_5X_LAMn_F_TRANSI_LARGE_207	2	Inv_4.3
FAB_5X_LAMn_F_TRANSI_LARGE_208	2	Inv_4.3
FAB_5X_LAMn_F_TRANSI_LARGE_211	1	Inv_4.3
FAB_5X_LAMn_F_TRANSI_LARGE_212	1	Inv_4.3
FAB_5X_LAMn_F_TRANSI_LARGE_79	3	Inv_4.3
FAB_5X_LAMn_F_TRANSI_LARGE_86	3	Inv_4.3
FAB_5X_LAMn_F_TRANSI_LARGE_88	3	Inv_4.3
FAB_5X_LAMn_M_EXPOS_DWARF_141	2	Inv_4.3
FAB_5X_LAMn_M_EXPOS_DWARF_146	3	Inv_4.3
FAB_5X_LAMn_M_EXPOS_DWARF_148	1	Inv_4.3
FAB_5X_LAMn_M_EXPOS_DWARF_149	3	Inv_4.3
FAB_5X_LAMn_M_EXPOS_DWARF_154	2	Inv_4.3
FAB_5X_LAMn_M_EXPOS_DWARF_157	2	Inv_4.3
FAB_5X_LAMn_M_EXPOS_DWARF_158	2	Inv_4.3
FAB_5X_LAMn_M_EXPOS_DWARF_164	2	Inv_4.3
FAB_5X_LAMn_M_EXPOS_DWARF_174	2	Inv_4.3
FAB_5X_LAMn_M_EXPOS_DWARF_175	3	Inv_4.3
FAB_5X_LAMn_M_EXPOS_DWARF_181	2	Inv_4.3
FAB_5X_LAMn_M_EXPOS_DWARF_182	2	Inv_4.3
FAB_5X_LAMn_M_EXPOS_DWARF_185	2	Inv_4.3
FAB_5X_LAMn_M_EXPOS_DWARF_187	2	Inv_4.3
FAB_5X_LAMn_M_EXPOS_DWARF_188	2	Inv_4.3
FAB_5X_LAMn_M_EXPOS_DWARF_60	3	Inv_4.3
FAB_5X_LAMn_M_SHELT_DWARF_106	2	Inv_4.3
FAB_5X_LAMn_M_SHELT_DWARF_112	1	Inv_4.3
FAB_5X_LAMn_M_SHELT_DWARF_42	1	Inv_4.3
FAB_5X_LAMn_M_SHELT_DWARF_47	1	Inv_4.3
FAB_5X_LAMn_M_SHELT_DWARF_97	3	Inv_4.3
FAB_5X_LAMn_M_SHELT_LARGE_103	2	Inv_4.3
FAB_5X_LAMn_M_SHELT_LARGE_108	3	Inv_4.3
FAB_5X_LAMn_M_SHELT_LARGE_132	1	Inv_4.3
FAB_5X_LAMn_M_SHELT_LARGE_45	1	Inv_4.3
FAB_5X_LAMn_M_SHELT_LARGE_50	1	Inv_4.3
FAB_5X_LAMn_M_SHELT_LARGE_91	3	Inv_4.3
FAB_5X_LAMn_M_SHELT_LARGE_98	3	Inv_4.3
FAB_5X_LAMn_M_SHELT_LARGE_99	1	Inv_4.3
FAB_5X_LAMn_M_TRANSI_DWARF_194	3	Inv_4.3
FAB_5X_LAMn_M_TRANSI_DWARF_196	2	Inv_4.3
FAB_5X_LAMn_M_TRANSI_DWARF_201	2	Inv_4.3
FAB_5X_LAMn_M_TRANSI_DWARF_202	1	Inv_4.3
FAB_5X_LAMn_M_TRANSI_DWARF_68	2	Inv_4.3
FAB_5X_LAMn_M_TRANSI_DWARF_69	3	Inv_4.3
FAB_5X_LAMn_M_TRANSI_DWARF_76	2	Inv_4.3
FAB_5X_LAMn_M_TRANSI_DWARF_77	3	Inv_4.3
FAB_5X_LAMn_M_TRANSI_DWARF_80	2	Inv_4.3
FAB_5X_LAMn_M_TRANSI_DWARF_82	2	Inv_4.3
FAB_5X_LAMn_M_TRANSI_DWARF_83	2	Inv_4.3
FAB_5X_LAMn_M_TRANSI_DWARF_84	2	Inv_4.3
FAB_5X_LAMn_M_TRANSI_LARGE_193	2	Inv_4.3
FAB_5X_LAMn_M_TRANSI_LARGE_200	2	Inv_4.3
FAB_5X_LAMn_M_TRANSI_LARGE_206	3	Inv_4.3
FAB_5X_LAMn_M_TRANSI_LARGE_213	2	Inv_4.3
FAB_5X_LAMn_M_TRANSI_LARGE_214	2	Inv_4.3
FAB_5X_LAMn_M_TRANSI_LARGE_71	2	Inv_4.3
FAB_5X_LAMn_M_TRANSI_LARGE_73	3	Inv_4.3
FAB_5X_LAMn_M_TRANSI_LARGE_83	2	Inv_4.3
FAB_5X_LAMn_M_TRANSI_LARGE_85	2	Inv_4.3
FAB_5X_LAMn_M_TRANSI_LARGE_87	2	Inv_4.3
FAB_15X_LOKn_F_SHELT_DWARF_1025	1	Inv_4.3
FAB_15X_LOKn_F_SHELT_LARGE_971	2	Inv_4.3
FAB_15X_LOKn_F_TRANS_DWARF_909	2	Inv_4.3
FAB_15X_LOKn_M_EXPOS_DWARF_827	2	Inv_4.3
FAB_15X_LOKn_M_EXPOS_LARGE_868	2	Inv_4.3
FAB_15X_LOKn_M_SHELT_DWARF_1012	3	Inv_4.3
FAB_15X_LOKn_M_TRANS_LARGE_907	3	Inv_4.3
FAB_5X_LOKn_F_EXPOS_DWARF_814	2	Inv_4.3
FAB_5X_LOKn_F_EXPOS_DWARF_863	3	Inv_4.3
FAB_5X_LOKn_F_EXPOS_LARGE_778	3	Inv_4.3
FAB_5X_LOKn_F_EXPOS_LARGE_779	1	Inv_4.3
FAB_5X_LOKn_F_EXPOS_LARGE_801	2	Inv_4.3
FAB_5X_LOKn_F_EXPOS_LARGE_802	2	Inv_4.3
FAB_5X_LOKn_F_EXPOS_LARGE_803	2	Inv_4.3
FAB_5X_LOKn_F_EXPOS_LARGE_806	2	Inv_4.3
FAB_5X_LOKn_F_EXPOS_LARGE_808	2	Inv_4.3
FAB_5X_LOKn_F_EXPOS_LARGE_810	2	Inv_4.3
FAB_5X_LOKn_F_EXPOS_LARGE_818	2	Inv_4.3
FAB_5X_LOKn_F_EXPOS_LARGE_819	2	Inv_4.3
FAB_5X_LOKn_F_EXPOS_LARGE_820	2	Inv_4.3
FAB_5X_LOKn_F_EXPOS_LARGE_821	2	Inv_4.3
FAB_5X_LOKn_F_EXPOS_LARGE_822	2	Inv_4.3
FAB_5X_LOKn_F_EXPOS_LARGE_838	2	Inv_4.3
FAB_5X_LOKn_F_EXPOS_LARGE_844	2	Inv_4.3
FAB_5X_LOKn_F_EXPOS_LARGE_857	2	Inv_4.3
FAB_5X_LOKn_F_EXPOS_LARGE_858	2	Inv_4.3
FAB_5X_LOKn_F_EXPOS_LARGE_861	2	Inv_4.3
FAB_5X_LOKn_F_EXPOS_LARGE_862	2	Inv_4.3
FAB_5X_LOKn_F_EXPOS_LARGE_865	2	Inv_4.3
FAB_5X_LOKn_F_EXPOS_LARGE_870	2	Inv_4.3
FAB_5X_LOKn_F_EXPOS_LARGE_875	3	Inv_4.3
FAB_5X_LOKn_F_EXPOS_LARGE_877	2	Inv_4.3
FAB_5X_LOKn_F_EXPOS_LARGE_878	2	Inv_4.3
FAB_5X_LOKn_F_EXPOS_LARGE_883	2	Inv_4.3
FAB_5X_LOKn_F_EXPOS_LARGE_899	2	Inv_4.3
FAB_5X_LOKn_F_SHELT_DWARF_1000	1	Inv_4.3
FAB_5X_LOKn_F_SHELT_DWARF_1001	1	Inv_4.3
FAB_5X_LOKn_F_SHELT_DWARF_1005	3	Inv_4.3
FAB_5X_LOKn_F_SHELT_DWARF_1006	3	Inv_4.3
FAB_5X_LOKn_F_SHELT_DWARF_1010	1	Inv_4.3
FAB_5X_LOKn_F_SHELT_DWARF_1014	1	Inv_4.3
FAB_5X_LOKn_F_SHELT_DWARF_1016	3	Inv_4.3
FAB_5X_LOKn_F_SHELT_DWARF_1019	1	Inv_4.3
FAB_5X_LOKn_F_SHELT_DWARF_1021	1	Inv_4.3
FAB_5X_LOKn_F_SHELT_DWARF_1022	1	Inv_4.3
FAB_5X_LOKn_F_SHELT_DWARF_1024	1	Inv_4.3
FAB_5X_LOKn_F_SHELT_DWARF_960	3	Inv_4.3
FAB_5X_LOKn_F_SHELT_DWARF_961	1	Inv_4.3
FAB_5X_LOKn_F_SHELT_DWARF_964	1	Inv_4.3
FAB_5X_LOKn_F_SHELT_DWARF_966	3	Inv_4.3
FAB_5X_LOKn_F_SHELT_DWARF_970	3	Inv_4.3
FAB_5X_LOKn_F_SHELT_DWARF_976	3	Inv_4.3
FAB_5X_LOKn_F_SHELT_DWARF_978	1	Inv_4.3
FAB_5X_LOKn_F_SHELT_DWARF_982	3	Inv_4.3
FAB_5X_LOKn_F_SHELT_DWARF_984	1	Inv_4.3
FAB_5X_LOKn_F_SHELT_DWARF_989	3	Inv_4.3
FAB_5X_LOKn_F_SHELT_DWARF_995	3	Inv_4.3
FAB_5X_LOKn_F_SHELT_DWARF_996	3	Inv_4.3
FAB_5X_LOKn_F_SHELT_DWARF_998	3	Inv_4.3
FAB_5X_LOKn_F_SHELT_DWARF_999	3	Inv_4.3
FAB_5X_LOKn_F_SHELT_LARGE_1004	3	Inv_4.3
FAB_5X_LOKn_F_SHELT_LARGE_993	2	Inv_4.3
FAB_5X_LOKn_F_TRANS_DWARF_917	2	Inv_4.3
FAB_5X_LOKn_F_TRANS_DWARF_924	3	Inv_4.3
FAB_5X_LOKn_F_TRANS_DWARF_925	1	Inv_4.3
FAB_5X_LOKn_F_TRANS_DWARF_926	3	Inv_4.3
FAB_5X_LOKn_F_TRANS_DWARF_952	2	Inv_4.3
FAB_5X_LOKn_F_TRANS_DWARF_957	3	Inv_4.3
FAB_5X_LOKn_F_TRANS_LARGE_901	2	Inv_4.3
FAB_5X_LOKn_F_TRANS_LARGE_910	3	Inv_4.3
FAB_5X_LOKn_F_TRANS_LARGE_914	2	Inv_4.3
FAB_5X_LOKn_F_TRANS_LARGE_916	2	Inv_4.3
FAB_5X_LOKn_F_TRANS_LARGE_920	2	Inv_4.3
FAB_5X_LOKn_F_TRANS_LARGE_922	2	Inv_4.3
FAB_5X_LOKn_F_TRANS_LARGE_931	2	Inv_4.3
FAB_5X_LOKn_F_TRANS_LARGE_932	2	Inv_4.3
FAB_5X_LOKn_F_TRANS_LARGE_940	2	Inv_4.3
FAB_5X_LOKn_F_TRANS_LARGE_941	2	Inv_4.3
FAB_5X_LOKn_F_TRANS_LARGE_946	2	Inv_4.3
FAB_5X_LOKn_F_TRANS_LARGE_949	2	Inv_4.3
FAB_5X_LOKn_F_TRANS_LARGE_955	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_DWARF_789	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_DWARF_811	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_DWARF_829	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_DWARF_830	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_DWARF_831	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_DWARF_869	3	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_776	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_780	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_782	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_784	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_785	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_787	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_788	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_790	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_792	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_793	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_794	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_797	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_800	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_809	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_813	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_815	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_824	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_825	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_826	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_832	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_835	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_836	1	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_843	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_846	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_847	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_848	1	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_849	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_853	3	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_854	3	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_872	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_876	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_881	3	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_884	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_885	3	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_886	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_888	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_890	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_891	3	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_892	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_893	2	Inv_4.3
FAB_5X_LOKn_M_EXPOS_LARGE_895	2	Inv_4.3
